               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10658,            0.058927,            0.036112,             0.77438,            0.051095,            0.016546,           0.0041034,            0.087274,            0.072913,            0.018979,            0.070857,           0.0032381,           0.0032381
                   1,            0.077613,            0.055818,            0.015917,             0.78115,            0.063869,            0.024803,           0.0076701,            0.099384,            0.055902,            0.016885,             0.04064,           0.0063546,           0.0063546
                   2,            0.076746,            0.053858,            0.013683,             0.79142,            0.091241,            0.043809,            0.019291,            0.074222,            0.057173,            0.015851,            0.010203,            0.009251,            0.009251
                   3,             0.06975,            0.053128,            0.014465,             0.81383,            0.097628,            0.074077,            0.035588,            0.064625,            0.059785,            0.015173,             0.00901,             0.00901,             0.00901
                   4,            0.058784,            0.054578,            0.014071,             0.33983,             0.39036,            0.097889,            0.045866,            0.049329,            0.063543,             0.01478,             0.00901,             0.00901,             0.00901
                   5,            0.050919,             0.05471,            0.012881,             0.33516,             0.36861,             0.12736,            0.072239,            0.046344,            0.064711,            0.014373,             0.00868,             0.00868,             0.00868
                   6,            0.046517,            0.056601,            0.012422,            0.099756,             0.39036,             0.15543,            0.084303,            0.041757,            0.064772,            0.013512,             0.00835,             0.00835,             0.00835
                   7,            0.044313,            0.055914,             0.01267,             0.12752,             0.46027,             0.16121,            0.086004,            0.043908,            0.062379,            0.012992,             0.00802,             0.00802,             0.00802
                   8,            0.042103,            0.057639,            0.012013,             0.14767,             0.45684,             0.18625,             0.11305,            0.040283,            0.064233,            0.012326,             0.00769,             0.00769,             0.00769
                   9,             0.03922,            0.054472,            0.010703,             0.13953,             0.47132,             0.17429,             0.10356,            0.042705,            0.062706,            0.011442,             0.00736,             0.00736,             0.00736
                  10,             0.03798,            0.053752,            0.010232,             0.16485,             0.51186,             0.18992,             0.13587,            0.033976,            0.066633,              0.0109,             0.00703,             0.00703,             0.00703
                  11,            0.036439,            0.055695,            0.010163,             0.15078,             0.51638,             0.20705,             0.13861,            0.039043,            0.065325,            0.010216,              0.0067,              0.0067,              0.0067
                  12,            0.034776,            0.054351,           0.0088992,             0.14994,             0.52875,             0.21715,             0.13887,            0.034167,            0.065864,           0.0094218,             0.00637,             0.00637,             0.00637
                  13,            0.032761,            0.055562,           0.0082821,             0.13578,             0.51746,             0.20557,             0.14136,             0.03197,            0.067132,           0.0088999,             0.00604,             0.00604,             0.00604
                  14,            0.031205,            0.056951,           0.0085776,             0.16423,             0.67626,             0.21834,             0.14121,            0.030489,            0.065505,           0.0084212,             0.00571,             0.00571,             0.00571
                  15,            0.031094,            0.058264,           0.0084881,             0.17806,             0.58784,             0.21872,             0.15371,            0.027464,            0.066532,           0.0082329,             0.00538,             0.00538,             0.00538
                  16,            0.029726,            0.057097,           0.0081899,              0.1625,             0.52821,             0.21968,             0.15611,            0.028336,            0.066571,           0.0083486,             0.00505,             0.00505,             0.00505
                  17,            0.029464,            0.056913,              0.0077,             0.21228,             0.62466,             0.24863,             0.16418,            0.027854,             0.06737,           0.0075912,             0.00472,             0.00472,             0.00472
                  18,            0.027627,             0.05992,           0.0075824,             0.26898,             0.59145,             0.27367,             0.17988,            0.028058,            0.065887,           0.0075439,             0.00439,             0.00439,             0.00439
                  19,            0.027484,            0.056407,           0.0071808,             0.26274,             0.54198,             0.25869,             0.17289,            0.028148,            0.066354,           0.0073617,             0.00406,             0.00406,             0.00406
                  20,             0.02646,            0.056779,           0.0069504,             0.23641,             0.47766,             0.22777,             0.17242,            0.027607,            0.067165,           0.0071049,             0.00373,             0.00373,             0.00373
                  21,            0.026048,             0.05424,           0.0071048,             0.22428,             0.50716,             0.25474,             0.17741,             0.02613,            0.066332,           0.0070136,              0.0034,              0.0034,              0.0034
                  22,            0.024507,            0.058277,            0.006829,             0.18348,              0.6433,             0.23824,             0.18106,            0.026187,             0.06685,           0.0067892,             0.00307,             0.00307,             0.00307
                  23,            0.024042,            0.059891,            0.006183,             0.21396,             0.63195,             0.25245,             0.18169,            0.026126,            0.066446,           0.0066712,             0.00274,             0.00274,             0.00274
                  24,            0.023705,             0.05742,           0.0063703,             0.22625,             0.59896,             0.26762,             0.18691,            0.026265,             0.06667,           0.0066766,             0.00241,             0.00241,             0.00241
                  25,            0.022971,            0.057946,            0.006545,             0.20069,             0.58846,             0.26336,             0.18665,            0.025246,            0.066537,           0.0064719,             0.00208,             0.00208,             0.00208
                  26,            0.021752,            0.054516,           0.0067318,             0.27041,             0.47674,             0.26087,             0.18229,             0.02381,            0.067798,           0.0064615,             0.00175,             0.00175,             0.00175
                  27,            0.020956,            0.057537,           0.0066839,             0.24302,             0.46266,              0.2378,             0.17867,            0.023882,            0.067064,           0.0062157,             0.00142,             0.00142,             0.00142
                  28,            0.020752,            0.054872,           0.0060573,             0.21114,             0.51839,             0.25897,             0.18431,            0.023637,            0.068469,           0.0062117,             0.00109,             0.00109,             0.00109
                  29,            0.020908,            0.058855,           0.0063979,             0.19672,             0.63781,             0.24813,             0.17807,            0.023462,            0.067333,           0.0062375,             0.00076,             0.00076,             0.00076
